title_base,genre,duration_min,avg_rating,year,director,title,movie_id,pace,description
Titanic,romance,194,4.0,1997,James Cameron,Titanic Remastered,M212,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Remastered,M213,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Remastered,M214,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 Remastered,M215,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Remastered,M216,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Part I,M217,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Part I,M218,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Part I,M219,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Part I,M220,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Part I,M221,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Part I,M222,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Part I,M223,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Part I,M224,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land Part I,M225,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Part I,M226,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Part I,M227,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Part I,M228,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Part I,M229,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic Part I,M230,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Part I,M231,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Part I,M232,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 Part I,M233,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Part I,M234,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Part II,M235,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Part II,M236,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Part II,M237,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Part II,M238,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Part II,M239,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Part II,M240,fast,Synopsis de test généré par le pipeline de données Pandas.
,,,,,,,,,
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Part II,M242,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land Part II,M243,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Part II,M244,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Part II,M245,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Part II,M246,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Part II,M247,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic Part II,M248,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Part II,M249,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Part II,M250,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 Part II,M251,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Part II,M252,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Part III,M253,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Part III,M254,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Part III,M255,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Part III,M256,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Part III,M257,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Part III,M258,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Part III,M259,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Part III,M260,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land Part III,M261,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Part III,M262,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Part III,M263,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Part III,M264,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Part III,M265,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic Part III,M266,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Part III,M267,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Part III,M268,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 Part III,M269,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Part III,M270,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception The Return,M271,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar The Return,M272,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix The Return,M273,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar The Return,M274,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator The Return,M275,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight The Return,M276,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story The Return,M277,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring The Return,M278,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land The Return,M279,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover The Return,M280,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven The Return,M281,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away The Return,M282,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction The Return,M283,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic The Return,M284,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad The Return,M285,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out The Return,M286,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 The Return,M287,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite The Return,M288,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Forever,M289,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Forever,M290,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Forever,M291,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Forever,M292,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Forever,M293,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Forever,M294,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Forever,M295,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Forever,M296,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land Forever,M297,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Forever,M298,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Forever,M299,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Forever,M300,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Forever,M301,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic Forever,M302,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Forever,M303,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Forever,M304,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 Forever,M305,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Forever,M306,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception The Next Generation,M307,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar The Next Generation,M308,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix The Next Generation,M309,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar The Next Generation,M310,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator The Next Generation,M311,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight The Next Generation,M312,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story The Next Generation,M313,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring The Next Generation,M314,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land The Next Generation,M315,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover The Next Generation,M316,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven The Next Generation,M317,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away The Next Generation,M318,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction The Next Generation,M319,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic The Next Generation,M320,fast,Synopsis de test généré par le pipeline de données Pandas.
,,,,,,,,,
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out The Next Generation,M322,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 The Next Generation,M323,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite The Next Generation,M324,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Chronicles,M325,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Chronicles,M326,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Chronicles,M327,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Chronicles,M328,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Chronicles,M329,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Chronicles,M330,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Chronicles,M331,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Chronicles,M332,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land Chronicles,M333,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Chronicles,M334,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Chronicles,M335,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Chronicles,M336,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Chronicles,M337,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic Chronicles,M338,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Chronicles,M339,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Chronicles,M340,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 Chronicles,M341,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Chronicles,M342,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Anniversary Edition,M343,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Anniversary Edition,M344,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Anniversary Edition,M345,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Anniversary Edition,M346,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Anniversary Edition,M347,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Anniversary Edition,M348,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Anniversary Edition,M349,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Anniversary Edition,M350,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land Anniversary Edition,M351,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Anniversary Edition,M352,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Anniversary Edition,M353,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Anniversary Edition,M354,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Anniversary Edition,M355,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic Anniversary Edition,M356,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Anniversary Edition,M357,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Anniversary Edition,M358,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 Anniversary Edition,M359,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Anniversary Edition,M360,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Director's Cut,M361,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Director's Cut,M362,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Director's Cut,M363,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Director's Cut,M364,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Director's Cut,M365,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Director's Cut,M366,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Director's Cut,M367,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Director's Cut,M368,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land Director's Cut,M369,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Director's Cut,M370,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Director's Cut,M371,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Director's Cut,M372,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Director's Cut,M373,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic Director's Cut,M374,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Director's Cut,M375,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Director's Cut,M376,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 Director's Cut,M377,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Director's Cut,M378,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Final Cut,M379,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Final Cut,M380,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Final Cut,M381,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Final Cut,M382,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Final Cut,M383,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Final Cut,M384,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Final Cut,M385,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Final Cut,M386,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land Final Cut,M387,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Final Cut,M388,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Final Cut,M389,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Final Cut,M390,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Final Cut,M391,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic Final Cut,M392,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Final Cut,M393,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Final Cut,M394,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 Final Cut,M395,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Final Cut,M396,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Gold Edition,M397,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Gold Edition,M398,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Gold Edition,M399,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Gold Edition,M400,LENT,Synopsis de test généré par le pipeline de données Pandas.
,,,,,,,,,
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Gold Edition,M402,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Gold Edition,M403,LENT,Synopsis de test généré par le pipeline de données Pandas.
The Conjuring,horror,112,3.9,2013,James Wan,The Conjuring Gold Edition,M404,fast,Synopsis de test généré par le pipeline de données Pandas.
La La Land,romance,128,4.2,2016,Damien Chazelle,La La Land Gold Edition,M405,fast,Synopsis de test généré par le pipeline de données Pandas.
The Hangover,comedy,100,3.8,2009,Todd Phillips,The Hangover Gold Edition,M406,LENT,Synopsis de test généré par le pipeline de données Pandas.
Seven,thriller,127,4.6,1995,David Fincher,Seven Gold Edition,M407,fast,Synopsis de test généré par le pipeline de données Pandas.
Spirited Away,animation,125,4.8,2001,Hayao Miyazaki,Spirited Away Gold Edition,M408,fast,Synopsis de test généré par le pipeline de données Pandas.
Pulp Fiction,drama,154,4.5,1994,Quentin Tarantino,Pulp Fiction Gold Edition,M409,LENT,Synopsis de test généré par le pipeline de données Pandas.
Titanic,romance,194,4.0,1997,James Cameron,Titanic Gold Edition,M410,fast,Synopsis de test généré par le pipeline de données Pandas.
Superbad,comedy,-113,3.7,2007,Greg Mottola,Superbad Gold Edition,M411,fast,Synopsis de test généré par le pipeline de données Pandas.
Get Out,horreur,104,4.1,2017,Jordan Peele,Get Out Gold Edition,M412,LENT,Synopsis de test généré par le pipeline de données Pandas.
Blade Runner 2049,sci fi,164,4.4,2017,Denis Villeneuve,Blade Runner 2049 Gold Edition,M413,fast,Synopsis de test généré par le pipeline de données Pandas.
Parasite,thriller,132,4.6,2019,Bong Joon Ho,Parasite Gold Edition,M414,fast,Synopsis de test généré par le pipeline de données Pandas.
Inception,science fiction,148,4.8,2010,Christopher Nolan,Inception Redux,M415,LENT,Synopsis de test généré par le pipeline de données Pandas.
Interstellar,sci-fi,-169,4.7.0.0,,Christopher Nolan,Interstellar Redux,M416,fast,Synopsis de test généré par le pipeline de données Pandas.
The Matrix,action,136,9.5,1999,Lana Wachowski,The Matrix Redux,M417,fast,Synopsis de test généré par le pipeline de données Pandas.
Avatar,thriler,9999,4.1,2009,James Cameron,Avatar Redux,M418,LENT,Synopsis de test généré par le pipeline de données Pandas.
Gladiator,drama,155,NaN,2000,Ridley Scott,Gladiator Redux,M419,fast,Synopsis de test généré par le pipeline de données Pandas.
The Dark Knight,action,152,4.9,2008,Christopher Nolan,The Dark Knight Redux,M420,fast,Synopsis de test généré par le pipeline de données Pandas.
Toy Story,animation,81,4.3,1995,John Lasseter,Toy Story Redux,M421,LENT,Synopsis de test généré par le pipeline de données Pandas.
